data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy,is_success
10000,0,0,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,1,0,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,2,0,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,0,0,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,4,0,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,2,0,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,1,0,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,0,1,33.333333333333336,False,3,5.561000000000001,"['/column0', 'None', 'None']",0
10000,1,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,0,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,2,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,0,1,33.333333333333336,False,3,5.561000000000001,"['/column0', 'None', 'None']",0
10000,1,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,4,1,33.333333333333336,False,3,5.561000000000001,"['/column0', 'None', 'None']",0
10000,1,2,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,2,2,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,0,2,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,3,2,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,0,2,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,2,2,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,0,2,0.0,False,1,0.001,"['None', 'None', 'None']",0
10000,1,3,100.0,True,8,54.960000000003205,"['/column0', '/column2', '/column1']",1
10000,0,3,100.0,True,8,58.4400000000036,"['/column0', '/column2', '/column1']",1
10000,3,3,100.0,True,8,52.96000000000309,"['/column0', '/column2', '/column1']",1
10000,2,3,100.0,True,8,59.4400000000044,"['/column0', '/column2', '/column1']",1
10000,1,3,100.0,True,8,51.640000000003,"['/column0', '/column2', '/column1']",1
10000,0,3,100.0,True,8,49.1200000000028,"['/column0', '/column2', '/column1']",1
10000,0,3,66.66666666666667,False,8,45.04100000000189,"['None', '/column2', '/column1']",0
10000,0,4,0.0,False,27,155.88100000001808,"['None', 'None', 'None']",0
10000,0,4,33.333333333333336,False,17,92.07999999999448,"['None', '/column1', 'None']",0
10000,0,4,0.0,False,27,167.0410000000222,"['None', 'None', 'None']",0
10000,2,4,0.0,False,27,156.36100000001844,"['None', 'None', 'None']",0
