data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy,is_success
15000,0,0,100.0,True,6,47.600000000001394,"['/column1', '/column2', '/column0']",1
15000,0,1,100.0,True,6,41.6400000000013,"['/column1', '/column2', '/column0']",1
15000,0,2,100.0,True,6,52.000000000003695,"['/column0', '/column1', '/column2']",1
15000,0,3,100.0,True,6,50.2000000000029,"['/column0', '/column2', '/column1']",1
15000,0,4,100.0,True,6,53.6400000000027,"['/column0', '/column1', '/column2']",1
15000,0,5,100.0,True,6,42.0000000000018,"['/column0', '/column2', '/column1']",1
15000,1,0,100.0,True,6,44.800000000001496,"['/column1', '/column2', '/column0']",1
15000,0,0,33.333333333333336,False,3,26.92,"['None', '/column2', 'None']",0
15000,0,1,100.0,True,6,44.0000000000018,"['/column1', '/column2', '/column0']",1
15000,0,2,33.333333333333336,False,3,25.9999999999999,"['None', 'None', '/column2']",0
15000,0,3,100.0,True,6,40.4000000000008,"['/column0', '/column2', '/column1']",1
15000,0,4,100.0,True,6,52.4800000000026,"['/column0', '/column1', '/column2']",1
15000,0,5,33.333333333333336,False,3,24.3999999999999,"['/column0', 'None', 'None']",0
15000,1,0,100.0,True,6,36.5200000000006,"['/column1', '/column2', '/column0']",1
15000,1,1,100.0,True,6,48.4800000000016,"['/column1', '/column2', '/column0']",1
15000,1,2,100.0,True,6,65.5200000000046,"['/column0', '/column1', '/column2']",1
15000,0,0,33.333333333333336,False,3,21.6799999999996,"['None', '/column2', 'None']",0
15000,0,1,100.0,True,6,44.9200000000015,"['/column1', '/column2', '/column0']",1
15000,0,2,100.0,True,6,53.520000000003,"['/column0', '/column1', '/column2']",1
15000,0,3,100.0,True,6,48.3200000000021,"['/column0', '/column2', '/column1']",1
15000,0,4,100.0,True,6,48.2400000000024,"['/column0', '/column1', '/column2']",1
15000,0,5,100.0,True,6,32.5200000000007,"['/column0', '/column2', '/column1']",1
15000,1,0,100.0,True,6,46.520000000001296,"['/column1', '/column2', '/column0']",1
15000,1,1,100.0,True,6,48.04000000000129,"['/column1', '/column2', '/column0']",1
16000,0,0,33.333333333333336,False,3,25.3999999999998,"['None', '/column2', 'None']",0
16000,0,1,33.333333333333336,False,3,21.9599999999999,"['/column1', 'None', 'None']",0
16000,0,2,100.0,True,6,46.640000000002,"['/column0', '/column1', '/column2']",1
16000,0,3,33.333333333333336,False,3,25.1999999999998,"['None', 'None', '/column1']",0
16000,0,4,100.0,True,6,50.9200000000032,"['/column0', '/column1', '/column2']",1
16000,0,5,100.0,True,6,33.1600000000007,"['/column0', '/column2', '/column1']",1
16000,1,0,0.0,False,2,4.1610000000000005,"['None', 'None', 'None']",0
16000,1,1,100.0,True,6,32.760000000000296,"['/column1', '/column2', '/column0']",1
16000,1,2,100.0,True,6,48.7200000000022,"['/column0', '/column1', '/column2']",1
16000,1,3,100.0,True,6,44.5600000000023,"['/column0', '/column2', '/column1']",1
16000,1,4,100.0,True,6,43.8000000000016,"['/column0', '/column1', '/column2']",1
16000,1,5,66.66666666666667,False,6,28.8809999999996,"['/column0', 'None', '/column1']",0
16000,2,0,100.0,True,6,36.2800000000004,"['/column1', '/column2', '/column0']",1
16000,2,1,100.0,True,6,36.80000000000079,"['/column1', '/column2', '/column0']",1
16000,2,2,100.0,True,6,50.520000000002696,"['/column0', '/column1', '/column2']",1
16000,2,3,100.0,True,6,42.96000000000161,"['/column0', '/column2', '/column1']",1
16000,2,4,100.0,True,6,47.960000000002005,"['/column0', '/column1', '/column2']",1
16000,2,5,33.333333333333336,False,3,18.319999999999705,"['/column0', 'None', 'None']",0
16000,3,0,100.0,True,6,48.3200000000022,"['/column1', '/column2', '/column0']",1
16000,3,1,100.0,True,6,37.84000000000099,"['/column1', '/column2', '/column0']",1
16000,3,2,100.0,True,6,43.520000000001495,"['/column0', '/column1', '/column2']",1
16000,3,3,100.0,True,6,42.0400000000015,"['/column0', '/column2', '/column1']",1
16000,3,4,100.0,True,6,53.8000000000024,"['/column0', '/column1', '/column2']",1
16000,3,5,100.0,True,6,36.560000000001,"['/column0', '/column2', '/column1']",1
16000,4,0,33.333333333333336,False,3,24.1999999999998,"['None', '/column2', 'None']",0
16000,4,1,100.0,True,6,44.2400000000021,"['/column1', '/column2', '/column0']",1
16000,4,2,100.0,True,6,37.2800000000008,"['/column0', '/column1', '/column2']",1
16000,4,3,100.0,True,6,53.96000000000291,"['/column0', '/column2', '/column1']",1
16000,4,4,100.0,True,6,47.480000000002896,"['/column0', '/column1', '/column2']",1
16000,4,5,100.0,True,6,30.3600000000004,"['/column0', '/column2', '/column1']",1
16000,0,0,100.0,True,6,45.4800000000018,"['/column1', '/column2', '/column0']",1
16000,0,1,33.333333333333336,False,3,20.9999999999999,"['/column1', 'None', 'None']",0
16000,0,2,100.0,True,6,51.320000000003006,"['/column0', '/column1', '/column2']",1
16000,0,3,100.0,True,6,44.40000000000151,"['/column0', '/column2', '/column1']",1
16000,0,4,100.0,True,6,51.4400000000029,"['/column0', '/column1', '/column2']",1
16000,0,5,66.66666666666667,False,5,27.1199999999997,"['/column0', 'None', '/column1']",0
16000,1,0,100.0,True,6,37.9600000000009,"['/column1', '/column2', '/column0']",1
16000,1,1,100.0,True,6,44.92000000000179,"['/column1', '/column2', '/column0']",1
16000,1,2,100.0,True,6,41.080000000001405,"['/column0', '/column1', '/column2']",1
16000,1,3,100.0,True,6,55.48000000000239,"['/column0', '/column2', '/column1']",1
16000,1,4,100.0,True,6,43.480000000001205,"['/column0', '/column1', '/column2']",1
16000,1,5,66.66666666666667,False,6,35.5200000000008,"['/column0', 'None', '/column1']",0
16000,2,0,33.333333333333336,False,3,25.919999999999803,"['None', '/column2', 'None']",0
16000,2,1,100.0,True,6,38.4000000000006,"['/column1', '/column2', '/column0']",1
16000,2,2,100.0,True,6,39.1600000000008,"['/column0', '/column1', '/column2']",1
16000,2,3,100.0,True,6,49.2400000000021,"['/column0', '/column2', '/column1']",1
16000,2,4,100.0,True,6,46.640000000001706,"['/column0', '/column1', '/column2']",1
16000,2,5,33.333333333333336,False,3,18.8799999999999,"['/column0', 'None', 'None']",0
16000,3,0,33.333333333333336,False,3,31.36,"['None', '/column2', 'None']",0
16000,3,1,100.0,True,6,50.80000000000229,"['/column1', '/column2', '/column0']",1
16000,3,2,100.0,True,6,44.5600000000017,"['/column0', '/column1', '/column2']",1
16000,3,3,100.0,True,6,42.5600000000014,"['/column0', '/column2', '/column1']",1
16000,3,4,100.0,True,6,41.6400000000014,"['/column0', '/column1', '/column2']",1
16000,3,5,100.0,True,6,40.7200000000014,"['/column0', '/column2', '/column1']",1
16000,4,0,100.0,True,6,40.960000000001,"['/column1', '/column2', '/column0']",1
16000,4,1,100.0,True,6,39.8800000000009,"['/column1', '/column2', '/column0']",1
