data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy
12000,0,permutation_0,100.0,True,6,39.640000000000995,"['/column0', '/column1', '/column2']"
12000,0,permutation_1,100.0,True,6,34.4400000000006,"['/column0', '/column1', '/column2']"
12000,0,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,0,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,0,permutation_4,100.0,True,6,48.0000000000029,"['/column0', '/column1', '/column2']"
12000,0,permutation_5,100.0,True,6,38.160000000001,"['/column0', '/column2', '/column1']"
12000,1,permutation_0,100.0,True,6,43.6800000000011,"['/column0', '/column1', '/column2']"
12000,1,permutation_1,100.0,True,6,45.2000000000025,"['/column0', '/column1', '/column2']"
12000,1,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,1,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,1,permutation_4,100.0,True,6,41.920000000002105,"['/column0', '/column1', '/column2']"
12000,1,permutation_5,100.0,True,6,35.2000000000006,"['/column0', '/column2', '/column1']"
12000,2,permutation_0,100.0,True,6,41.5600000000011,"['/column0', '/column1', '/column2']"
12000,2,permutation_1,100.0,True,6,41.000000000001705,"['/column0', '/column1', '/column2']"
12000,2,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,2,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,2,permutation_4,100.0,True,6,36.000000000000796,"['/column0', '/column1', '/column2']"
12000,2,permutation_5,33.333333333333336,False,3,23.6399999999999,"['/column0', 'None', 'None']"
12000,3,permutation_0,100.0,True,6,49.8800000000028,"['/column0', '/column1', '/column2']"
12000,3,permutation_1,100.0,True,6,47.400000000002095,"['/column0', '/column1', '/column2']"
12000,3,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,3,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,3,permutation_4,100.0,True,6,36.8400000000004,"['/column0', '/column1', '/column2']"
12000,3,permutation_5,33.333333333333336,False,3,18.199999999999697,"['/column0', 'None', 'None']"
12000,4,permutation_0,33.333333333333336,False,3,16.279999999999802,"['None', 'None', '/column2']"
12000,4,permutation_1,100.0,True,6,42.8400000000026,"['/column0', '/column1', '/column2']"
12000,4,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,4,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,4,permutation_4,100.0,True,6,54.1600000000037,"['/column0', '/column1', '/column2']"
12000,4,permutation_5,66.66666666666667,False,6,34.760000000001,"['/column0', 'None', '/column1']"
12000,5,permutation_0,100.0,True,6,45.2400000000019,"['/column0', '/column1', '/column2']"
12000,5,permutation_1,100.0,True,6,38.5600000000013,"['/column0', '/column1', '/column2']"
12000,5,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,5,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,5,permutation_4,100.0,True,6,34.8400000000011,"['/column0', '/column1', '/column2']"
12000,5,permutation_5,66.66666666666667,False,6,38.1200000000012,"['/column0', 'None', '/column1']"
12000,6,permutation_0,100.0,True,6,43.32000000000131,"['/column0', '/column1', '/column2']"
12000,6,permutation_1,100.0,True,6,43.5600000000019,"['/column0', '/column1', '/column2']"
12000,6,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,6,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
12000,6,permutation_4,100.0,True,6,39.760000000001,"['/column0', '/column1', '/column2']"
12000,6,permutation_5,33.333333333333336,False,3,18.3599999999997,"['/column0', 'None', 'None']"
12000,7,permutation_0,100.0,True,6,47.0000000000019,"['/column0', '/column1', '/column2']"
