data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy
16000,1,permutation_0,0.0,False,2,4.1610000000000005,"['None', 'None', 'None']"
16000,1,permutation_1,100.0,True,6,32.760000000000296,"['/column1', '/column2', '/column0']"
16000,1,permutation_2,100.0,True,6,48.7200000000022,"['/column0', '/column1', '/column2']"
16000,1,permutation_3,100.0,True,6,44.5600000000023,"['/column0', '/column2', '/column1']"
16000,1,permutation_4,100.0,True,6,43.800000000001596,"['/column0', '/column1', '/column2']"
16000,1,permutation_5,66.66666666666667,False,6,28.8809999999996,"['/column0', 'None', '/column1']"
16000,2,permutation_0,100.0,True,6,36.2800000000004,"['/column1', '/column2', '/column0']"
16000,2,permutation_1,100.0,True,6,36.80000000000079,"['/column1', '/column2', '/column0']"
16000,2,permutation_2,100.0,True,6,50.520000000002696,"['/column0', '/column1', '/column2']"
16000,2,permutation_3,100.0,True,6,42.96000000000161,"['/column0', '/column2', '/column1']"
16000,2,permutation_4,100.0,True,6,47.960000000002005,"['/column0', '/column1', '/column2']"
16000,2,permutation_5,33.333333333333336,False,3,18.319999999999702,"['/column0', 'None', 'None']"
16000,3,permutation_0,100.0,True,6,48.320000000002196,"['/column1', '/column2', '/column0']"
16000,3,permutation_1,100.0,True,6,37.84000000000099,"['/column1', '/column2', '/column0']"
16000,3,permutation_2,100.0,True,6,43.520000000001495,"['/column0', '/column1', '/column2']"
16000,3,permutation_3,100.0,True,6,42.0400000000015,"['/column0', '/column2', '/column1']"
16000,3,permutation_4,100.0,True,6,53.8000000000024,"['/column0', '/column1', '/column2']"
16000,3,permutation_5,100.0,True,6,36.560000000001,"['/column0', '/column2', '/column1']"
16000,4,permutation_0,33.333333333333336,False,3,24.1999999999998,"['None', '/column2', 'None']"
16000,4,permutation_1,100.0,True,6,44.2400000000021,"['/column1', '/column2', '/column0']"
16000,4,permutation_2,100.0,True,6,37.2800000000008,"['/column0', '/column1', '/column2']"
16000,4,permutation_3,100.0,True,6,53.96000000000291,"['/column0', '/column2', '/column1']"
16000,4,permutation_4,100.0,True,6,47.480000000002896,"['/column0', '/column1', '/column2']"
16000,4,permutation_5,100.0,True,6,30.360000000000397,"['/column0', '/column2', '/column1']"
16000,0,permutation_0,100.0,True,6,45.480000000001795,"['/column1', '/column2', '/column0']"
16000,0,permutation_1,33.333333333333336,False,3,20.9999999999999,"['/column1', 'None', 'None']"
16000,0,permutation_2,100.0,True,6,51.320000000003006,"['/column0', '/column1', '/column2']"
16000,0,permutation_3,100.0,True,6,44.400000000001505,"['/column0', '/column2', '/column1']"
16000,0,permutation_4,100.0,True,6,51.4400000000029,"['/column0', '/column1', '/column2']"
16000,0,permutation_5,66.66666666666667,False,5,27.1199999999997,"['/column0', 'None', '/column1']"
16000,1,permutation_0,100.0,True,6,37.9600000000009,"['/column1', '/column2', '/column0']"
16000,1,permutation_1,100.0,True,6,44.92000000000179,"['/column1', '/column2', '/column0']"
16000,1,permutation_2,100.0,True,6,41.080000000001405,"['/column0', '/column1', '/column2']"
16000,1,permutation_3,100.0,True,6,55.48000000000239,"['/column0', '/column2', '/column1']"
16000,1,permutation_4,100.0,True,6,43.480000000001205,"['/column0', '/column1', '/column2']"
16000,1,permutation_5,66.66666666666667,False,6,35.5200000000008,"['/column0', 'None', '/column1']"
16000,2,permutation_0,33.333333333333336,False,3,25.919999999999803,"['None', '/column2', 'None']"
16000,2,permutation_1,100.0,True,6,38.400000000000595,"['/column1', '/column2', '/column0']"
16000,2,permutation_2,100.0,True,6,39.1600000000008,"['/column0', '/column1', '/column2']"
16000,2,permutation_3,100.0,True,6,49.2400000000021,"['/column0', '/column2', '/column1']"
16000,2,permutation_4,100.0,True,6,46.640000000001706,"['/column0', '/column1', '/column2']"
16000,2,permutation_5,33.333333333333336,False,3,18.8799999999999,"['/column0', 'None', 'None']"
16000,3,permutation_0,33.333333333333336,False,3,31.36,"['None', '/column2', 'None']"
16000,3,permutation_1,100.0,True,6,50.80000000000229,"['/column1', '/column2', '/column0']"
16000,3,permutation_2,100.0,True,6,44.5600000000017,"['/column0', '/column1', '/column2']"
16000,3,permutation_3,100.0,True,6,42.5600000000014,"['/column0', '/column2', '/column1']"
16000,3,permutation_4,100.0,True,6,41.6400000000014,"['/column0', '/column1', '/column2']"
16000,3,permutation_5,100.0,True,6,40.7200000000014,"['/column0', '/column2', '/column1']"
16000,4,permutation_0,100.0,True,6,40.960000000001,"['/column1', '/column2', '/column0']"
16000,4,permutation_1,100.0,True,6,39.8800000000009,"['/column1', '/column2', '/column0']"
16000,0,permutation_0,100.0,True,6,39.1200000000009,"['/column1', '/column2', '/column0']"
16000,0,permutation_1,100.0,True,6,36.8800000000006,"['/column1', '/column2', '/column0']"
16000,0,permutation_2,100.0,True,6,49.560000000002304,"['/column0', '/column1', '/column2']"
16000,0,permutation_3,100.0,True,6,45.1600000000017,"['/column0', '/column2', '/column1']"
16000,0,permutation_4,66.66666666666667,False,6,41.84100000000159,"['/column0', '/column1', 'None']"
16000,0,permutation_5,100.0,True,6,38.9600000000015,"['/column0', '/column2', '/column1']"
16000,1,permutation_0,100.0,True,6,43.3200000000018,"['/column1', '/column2', '/column0']"
16000,1,permutation_1,100.0,True,6,37.7600000000013,"['/column1', '/column2', '/column0']"
16000,1,permutation_2,100.0,True,6,44.4800000000016,"['/column0', '/column1', '/column2']"
16000,1,permutation_3,100.0,True,6,44.8000000000017,"['/column0', '/column2', '/column1']"
16000,1,permutation_4,66.66666666666667,False,6,45.201000000001194,"['/column0', '/column1', 'None']"
16000,1,permutation_5,100.0,True,6,36.2400000000015,"['/column0', '/column2', '/column1']"
