data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy
500,0,permutation_0,33.333333333333336,False,3,12.2409999999998,"['None', '/column0', 'None']"
500,1,permutation_0,100.0,True,7,45.161000000002495,"['/column1', '/column0', '/column2']"
500,2,permutation_0,100.0,True,6,51.0800000000025,"['/column1', '/column0', '/column2']"
500,3,permutation_0,66.66666666666667,False,7,38.48200000000119,"['/column1', '/column0', 'None']"
500,4,permutation_0,100.0,True,6,48.1200000000026,"['/column1', '/column0', '/column2']"
500,5,permutation_0,33.333333333333336,False,3,14.960999999999999,"['None', '/column0', 'None']"
500,6,permutation_0,100.0,True,6,38.560000000002404,"['/column1', '/column0', '/column2']"
500,7,permutation_0,100.0,True,6,46.3600000000029,"['/column1', '/column0', '/column2']"
500,8,permutation_0,66.66666666666667,False,6,35.88100000000151,"['/column1', '/column0', 'None']"
500,9,permutation_0,100.0,True,6,44.840000000002895,"['/column1', '/column0', '/column2']"
500,0,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,1,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,2,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,3,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,4,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,5,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,6,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,7,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,8,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,9,permutation_1,0.0,False,2,0.002,"['None', 'None', 'None']"
500,0,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,1,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,2,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,3,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,4,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,5,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,6,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,7,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
500,8,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
