data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy
500,0,permutation 5,66.66666666666667,False,6,23.879999999999942,"['None', '/column2', '/column1']"
500,1,permutation 5,33.333333333333336,False,5,13.641999999999799,"['None', 'None', '/column1']"
500,2,permutation 5,66.66666666666667,False,6,24.519999999999943,"['None', '/column2', '/column1']"
500,3,permutation 5,66.66666666666667,False,6,24.51999999999994,"['None', '/column2', '/column1']"
500,4,permutation 5,66.66666666666667,False,5,22.1209999999996,"['None', '/column2', '/column1']"
500,5,permutation 5,66.66666666666667,False,6,26.39999999999984,"['None', '/column2', '/column1']"
500,6,permutation 5,66.66666666666667,False,6,20.56000000000004,"['None', '/column2', '/column1']"
500,7,permutation 5,66.66666666666667,False,6,26.80000000000004,"['None', '/column2', '/column1']"
500,8,permutation 5,66.66666666666667,False,6,47.080000000002,"['None', '/column2', '/column1']"
500,9,permutation 5,0.0,False,3,3.8419999999999996,"['None', 'None', 'None']"
