data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy
9000,0,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_4,33.333333333333336,False,3,12.5209999999998,"['None', '/column1', 'None']"
9000,0,permutation_5,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_4,33.333333333333336,False,3,7.5209999999999,"['None', '/column1', 'None']"
9000,1,permutation_5,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_4,33.333333333333336,False,3,12.7609999999998,"['None', '/column1', 'None']"
9000,0,permutation_5,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,1,permutation_4,33.333333333333336,False,3,10.1209999999999,"['None', '/column1', 'None']"
9000,1,permutation_5,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,2,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,2,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,2,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,2,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,2,permutation_4,33.333333333333336,False,3,10.480999999999899,"['None', '/column1', 'None']"
9000,2,permutation_5,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,3,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,3,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,3,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,3,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,3,permutation_4,33.333333333333336,False,3,10.2809999999999,"['None', '/column1', 'None']"
9000,3,permutation_5,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,4,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,4,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,4,permutation_2,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,4,permutation_3,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,4,permutation_4,33.333333333333336,False,3,13.841,"['None', '/column1', 'None']"
9000,4,permutation_5,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_0,0.0,False,1,0.001,"['None', 'None', 'None']"
9000,0,permutation_1,0.0,False,1,0.001,"['None', 'None', 'None']"
