data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy
2500,0,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,1,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,2,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,3,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,4,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,5,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,6,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,7,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,8,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,9,permutation_0,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,0,permutation_1,33.333333333333336,False,3,14.7199999999997,"['None', 'None', '/column2']"
2500,1,permutation_1,100.0,True,6,37.160000000001595,"['/column0', '/column1', '/column2']"
2500,2,permutation_1,100.0,True,6,40.0400000000014,"['/column0', '/column1', '/column2']"
2500,3,permutation_1,33.333333333333336,False,3,12.959999999999798,"['None', 'None', '/column2']"
2500,4,permutation_1,100.0,True,6,39.6400000000011,"['/column0', '/column1', '/column2']"
2500,5,permutation_1,33.333333333333336,False,3,16.2399999999997,"['None', 'None', '/column2']"
2500,6,permutation_1,100.0,True,6,43.1600000000018,"['/column0', '/column1', '/column2']"
2500,7,permutation_1,33.333333333333336,False,3,15.159999999999698,"['None', 'None', '/column2']"
2500,8,permutation_1,100.0,True,6,47.7600000000024,"['/column0', '/column1', '/column2']"
2500,9,permutation_1,100.0,True,6,42.52000000000201,"['/column0', '/column1', '/column2']"
2500,0,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,1,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,2,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,3,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,4,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,5,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,6,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,7,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,8,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,9,permutation_2,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,0,permutation_3,100.0,True,6,51.6000000000026,"['/column0', '/column1', '/column2']"
2500,1,permutation_3,100.0,True,6,54.320000000003894,"['/column0', '/column1', '/column2']"
2500,2,permutation_3,100.0,True,6,43.1600000000016,"['/column0', '/column1', '/column2']"
2500,3,permutation_3,100.0,True,6,46.360000000002096,"['/column0', '/column1', '/column2']"
2500,4,permutation_3,100.0,True,6,50.6800000000025,"['/column0', '/column1', '/column2']"
2500,5,permutation_3,100.0,True,6,55.6400000000025,"['/column0', '/column1', '/column2']"
2500,6,permutation_3,100.0,True,6,49.6400000000029,"['/column0', '/column1', '/column2']"
2500,7,permutation_3,100.0,True,6,55.960000000003596,"['/column0', '/column1', '/column2']"
2500,8,permutation_3,100.0,True,6,51.8000000000032,"['/column0', '/column1', '/column2']"
2500,9,permutation_3,100.0,True,6,51.0000000000025,"['/column0', '/column1', '/column2']"
2500,0,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,1,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,2,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,3,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,4,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,5,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,6,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,7,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,8,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,9,permutation_4,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,0,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,1,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,2,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,3,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,4,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,5,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,6,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,7,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,8,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
2500,9,permutation_5,0.0,False,2,0.002,"['None', 'None', 'None']"
